time_ms,V_mV,m,h,n,I_inj_uA_per_cm2
2.04,-64.99425101814177,0.052965559586269084,0.5960954196682536,0.3176934685408771,0.0
2.05,-64.99423452842387,0.05296567853076923,0.5960952132989438,0.3176935996233216,0.0
2.06,-64.99421814495186,0.052965796801013244,0.5960950064946415,0.3176937309286278,0.0
2.07,-64.9942018676053,0.052965914397464356,0.5960947992602216,0.3176938624534043,0.0
2.08,-64.99418569626228,0.05296603132059782,0.5960945916005479,0.31769399419426936,0.0
2.09,-64.99416963079945,0.05296614757090083,0.5960943835204736,0.3176941261478507,0.0
2.1,-64.99415367109195,0.05296626314887236,0.5960941750248413,0.3176942583107858,0.0
2.11,-64.9941378170135,0.05296637805502309,0.5960939661184825,0.3176943906797217,0.0
2.12,-64.99412206843634,0.052966492289875294,0.5960937568062182,0.3176945232513153,0.0
2.13,-64.99410642523128,0.05296660585396272,0.5960935470928582,0.317694656022233,0.0
2.14,-64.99409088726769,0.05296671874783049,0.5960933369832014,0.3176947889891511,0.0
2.15,-64.9940754544135,0.052966830972035,0.5960931264820359,0.31769492214875555,0.0
2.16,-64.99406012653525,0.052966942527143845,0.5960929155941386,0.3176950554977421,0.0
2.17,-64.99404490349802,0.052967053413735685,0.5960927043242752,0.31769518903281624,0.0
2.18,-64.99402978516552,0.05296716363240018,0.5960924926772005,0.31769532275069345,0.0
2.19,-64.99401477140005,0.05296727318373788,0.5960922806576582,0.3176954566480989,0.0
2.2,-64.9939998620625,0.05296738206836016,0.5960920682703804,0.3176955907217676,0.0
2.21,-64.9939850570124,0.052967490286889095,0.5960918555200884,0.3176957249684446,0.0
2.22,-64.9939703561079,0.0529675978399574,0.5960916424114917,0.31769585938488476,0.0
2.23,-64.99395575920576,0.052967704728208345,0.5960914289492888,0.3176959939678528,0.0
2.24,-64.99394126616141,0.052967810952295656,0.5960912151381668,0.3176961287141235,0.0
2.25,-64.99392687682892,0.052967916512883455,0.5960910009828011,0.31769626362048153,0.0
2.2600000000000002,-64.99391259106099,0.052968021410646146,0.596090786487856,0.3176963986837216,0.0
2.27,-64.99389840870899,0.05296812564626838,0.5960905716579838,0.3176965339006484,0.0
2.2800000000000002,-64.99388432962297,0.05296822922044493,0.5960903564978258,0.3176966692680766,0.0
2.29,-64.99387035365166,0.05296833213388067,0.5960901410120113,0.31769680478283097,0.0
